,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,wrestlers,pairing,bout,pair,wrestlers bout,82
1,wrestlers,pairing,bout,pair,wrestlers bout,82
2,wrestlers,pairing,bout,pair,wrestlers bout,82
3,wrestlers,pairing,bout,pair,wrestlers bout,82
4,wrestlers,pairing,bout,pair,wrestlers bout,82
5,wrestlers,pairing,bout,pair,wrestlers bout,82
6,wrestlers,pairing,bout,pair,wrestlers bout,82
7,wrestlers,pairing,bout,pair,wrestlers bout,82
8,wrestlers,pairing,bout,pair,wrestlers bout,82
9,wrestlers,pairing,bout,pair,wrestlers bout,82
10,wrestlers,pairing,bout,pair,wrestlers bout,82
11,wrestlers,pairing,bout,pair,wrestlers bout,82
12,wrestlers,pairing,bout,pair,wrestlers bout,82
13,wrestlers,pairing,bout,pair,wrestlers bout,82
14,wrestlers,pairing,bout,pair,wrestlers bout,82
15,wrestlers,pairing,bout,pair,wrestlers bout,82
16,wrestlers,pairing,bout,pair,wrestlers bout,82
17,wrestlers,pairing,bout,pair,wrestlers bout,82
18,wrestlers,pairing,bout,pair,wrestlers bout,82
19,wrestlers,pairing,bout,pair,wrestlers bout,82
20,wrestlers,pairing,bout,pair,wrestlers bout,82
21,wrestlers,pairing,bout,pair,wrestlers bout,82
22,wrestlers,pairing,bout,pair,wrestlers bout,82
23,wrestlers,pairing,bout,pair,wrestlers bout,82
24,wrestlers,pairing,bout,pair,wrestlers bout,82
25,wrestlers,pairing,bout,pair,wrestlers bout,82
26,wrestlers,pairing,bout,pair,wrestlers bout,82
27,wrestlers,pairing,bout,pair,wrestlers bout,82
28,wrestlers,pairing,bout,pair,wrestlers bout,82
29,wrestlers,pairing,bout,pair,wrestlers bout,82
30,wrestlers,pairing,bout,pair,wrestlers bout,82
31,wrestlers,pairing,bout,pair,wrestlers bout,82
32,wrestlers,pairing,bout,pair,wrestlers bout,82
33,wrestlers,pairing,bout,pair,wrestlers bout,82
34,wrestlers,pairing,bout,pair,wrestlers bout,82
