,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,government,blocked,access,block,government access,40
1,government,blocked,access,block,government access,40
2,government,blocks,access,block,government access,40
3,government,blocked,access,block,government access,40
4,government,blocked,access,block,government access,40
5,government,blocks,access,block,government access,40
6,government,blocked,access,block,government access,40
7,government,blocked,access,block,government access,40
8,government,blocked,access,block,government access,40
9,government,blocked,access,block,government access,40
10,government,blocked,access,block,government access,40
11,government,blocked,access,block,government access,40
12,government,blocked,access,block,government access,40
13,government,blocks,access,block,government access,40
14,government,blocked,access,block,government access,40
15,government,blocked,access,block,government access,40
16,government,blocks,access,block,government access,40
17,government,blocked,access,block,government access,40
18,government,blocked,access,block,government access,40
19,government,blocked,access,block,government access,40
20,government,blocked,access,block,government access,40
21,government,blocked,access,block,government access,40
22,government,blocks,access,block,government access,40
23,government,blocked,access,block,government access,40
24,government,blocked,access,block,government access,40
25,government,blocks,access,block,government access,40
26,government,blocked,access,block,government access,40
27,government,blocked,access,block,government access,40
28,government,blocked,access,block,government access,40
29,government,block,access,block,government access,40
30,government,blocked,access,block,government access,40
31,government,blocks,access,block,government access,40
32,government,blocked,access,block,government access,40
33,government,blocked,access,block,government access,40
34,government,blocks,access,block,government access,40
35,government,blocked,access,block,government access,40
36,government,blocks,access,block,government access,40
37,government,blocks,access,block,government access,40
38,government,blocked,access,block,government access,40
39,government,blocked,access,block,government access,40
40,protesters,blocked,roads,block,protesters roads,30
41,protesters,blocking,roads,block,protesters roads,30
42,protesters,blocked,roads,block,protesters roads,30
43,protesters,blocking,roads,block,protesters roads,30
44,protesters,blocked,roads,block,protesters roads,30
45,protesters,blocked,roads,block,protesters roads,30
46,protesters,blocked,roads,block,protesters roads,30
47,protesters,blocked,roads,block,protesters roads,30
48,protesters,blocked,roads,block,protesters roads,30
49,protesters,blocked,roads,block,protesters roads,30
50,protesters,blocking,roads,block,protesters roads,30
51,protesters,blocked,roads,block,protesters roads,30
52,protesters,blocking,roads,block,protesters roads,30
53,protesters,blocked,roads,block,protesters roads,30
54,protesters,blocked,roads,block,protesters roads,30
55,protesters,blocked,roads,block,protesters roads,30
56,protesters,blocked,roads,block,protesters roads,30
57,protesters,block,roads,block,protesters roads,30
58,protesters,blocked,roads,block,protesters roads,30
59,protesters,blocked,roads,block,protesters roads,30
60,protesters,blocking,roads,block,protesters roads,30
61,protesters,blocking,roads,block,protesters roads,30
62,protesters,blocked,roads,block,protesters roads,30
63,protesters,blocked,roads,block,protesters roads,30
64,protesters,blocked,roads,block,protesters roads,30
65,protesters,blocked,roads,block,protesters roads,30
66,protesters,blocked,roads,block,protesters roads,30
67,protesters,blocked,roads,block,protesters roads,30
68,protesters,blocking,roads,block,protesters roads,30
69,protesters,blocked,roads,block,protesters roads,30
70,protesters,blocking,traffic,block,protesters traffic,24
71,protesters,blocked,traffic,block,protesters traffic,24
72,protesters,blocked,traffic,block,protesters traffic,24
73,protesters,blocked,traffic,block,protesters traffic,24
74,protesters,blocked,traffic,block,protesters traffic,24
75,protesters,blocked,traffic,block,protesters traffic,24
76,protesters,blocked,traffic,block,protesters traffic,24
77,protesters,blocked,traffic,block,protesters traffic,24
78,protesters,blocking,traffic,block,protesters traffic,24
79,protesters,blocked,traffic,block,protesters traffic,24
80,protesters,blocked,traffic,block,protesters traffic,24
81,protesters,blocked,traffic,block,protesters traffic,24
82,protesters,blocked,traffic,block,protesters traffic,24
83,protesters,blocked,traffic,block,protesters traffic,24
84,protesters,blocked,traffic,block,protesters traffic,24
85,protesters,blocked,traffic,block,protesters traffic,24
86,protesters,blocked,traffic,block,protesters traffic,24
87,protesters,blocked,traffic,block,protesters traffic,24
88,protesters,blocked,traffic,block,protesters traffic,24
89,protesters,blocked,traffic,block,protesters traffic,24
90,protesters,blocked,traffic,block,protesters traffic,24
91,protesters,blocked,traffic,block,protesters traffic,24
