,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,eyes,glowing,red,glow,eyes red,25
1,eyes,glow,red,glow,eyes red,25
2,eyes,glowing,red,glow,eyes red,25
3,eyes,glow,red,glow,eyes red,25
4,eyes,glowing,red,glow,eyes red,25
5,eyes,glow,red,glow,eyes red,25
6,eyes,glow,red,glow,eyes red,25
7,eyes,glow,red,glow,eyes red,25
8,eyes,glow,red,glow,eyes red,25
9,eyes,glow,red,glow,eyes red,25
10,eyes,glow,red,glow,eyes red,25
11,eyes,glowing,red,glow,eyes red,25
12,eyes,glow,red,glow,eyes red,25
13,eyes,glow,red,glow,eyes red,25
14,eyes,glow,red,glow,eyes red,25
15,eyes,glow,red,glow,eyes red,25
16,eyes,glow,red,glow,eyes red,25
17,eyes,glow,red,glow,eyes red,25
18,eyes,glow,red,glow,eyes red,25
19,eyes,glow,red,glow,eyes red,25
20,eyes,glow,red,glow,eyes red,25
21,eyes,glow,red,glow,eyes red,25
22,eyes,glow,red,glow,eyes red,25
23,eyes,glow,red,glow,eyes red,25
24,eyes,glow,red,glow,eyes red,25
25,eyes,glow,green,glow,eyes green,10
26,eyes,glow,green,glow,eyes green,10
27,eyes,glow,green,glow,eyes green,10
28,eyes,glow,green,glow,eyes green,10
29,eyes,glowing,green,glow,eyes green,10
30,eyes,glow,green,glow,eyes green,10
31,eyes,glowing,green,glow,eyes green,10
32,eyes,glow,green,glow,eyes green,10
33,eyes,glow,green,glow,eyes green,10
34,eyes,glow,green,glow,eyes green,10
35,eyes,glow,blue,glow,eyes blue,4
36,eyes,glow,blue,glow,eyes blue,4
37,eyes,glow,blue,glow,eyes blue,4
38,eyes,glow,blue,glow,eyes blue,4
39,eyes,glow,orange,glow,eyes orange,3
40,eyes,glow,orange,glow,eyes orange,3
41,eyes,glow,orange,glow,eyes orange,3
42,album,glowing,reviews,glow,album reviews,2
43,eyes,glow,pink,glow,eyes pink,2
44,eyes,glow,purple,glow,eyes purple,2
45,eyes,glow,pink,glow,eyes pink,2
46,eyes,glow,silver,glow,eyes silver,2
47,eyes,glow,purple,glow,eyes purple,2
48,album,glowing,reviews,glow,album reviews,2
49,eyes,glow,silver,glow,eyes silver,2
50,skin,glows,blood,glow,skin blood,1
51,gases,glow,sunlight,glow,gases sunlight,1
52,tattoos,glow,dead,glow,tattoos dead,1
53,jewel,glowed,gift,glow,jewel gift,1
54,eggs,glow,flashes,glow,eggs flashes,1
55,masts,glow,ship,glow,masts ship,1
56,skin,glows,shade,glow,skin shade,1
57,device,glows,red,glow,device red,1
58,blade,glows,blue,glow,blade blue,1
59,figures,glows,saucer,glow,figures saucer,1
60,gizmos,glowing,action,glow,gizmos action,1
61,bioluminescent,glow,coast,glow,bioluminescent coast,1
62,album,glows,vision,glow,album vision,1
63,moss,glow,buds,glow,moss buds,1
64,partnerships,glow,worms,glow,partnerships worms,1
65,eyes,glow,voice,glow,eyes voice,1
66,mutants,glow,red,glow,mutants red,1
67,lanterns,glow,orange,glow,lanterns orange,1
68,face,glows,markings,glow,face markings,1
69,eyes,glow,colour,glow,eyes colour,1
70,stone,glows,red,glow,stone red,1
71,room,glowing,green,glow,room green,1
72,padlock,glow,blue,glow,padlock blue,1
73,heart,glow,much,glow,heart much,1
74,waratahs,glowing,crimson,glow,waratahs crimson,1
75,parts,glow,flames,glow,parts flames,1
76,heart,glowed,form,glow,heart form,1
77,unit,glows,blue,glow,unit blue,1
78,engines,glow,plugs,glow,engines plugs,1
79,armor,glows,eyes,glow,armor eyes,1
80,slopes,glow,colour,glow,slopes colour,1
81,metal,glows,red,glow,metal red,1
82,eyes,glow,passion,glow,eyes passion,1
83,eyes,glow,gold,glow,eyes gold,1
84,baby,glows,red,glow,baby red,1
85,makeup,glow,imperfections,glow,makeup imperfections,1
86,sky,glow,red,glow,sky red,1
87,platypuses,glow,color,glow,platypuses color,1
88,craters,glowed,orange,glow,craters orange,1
89,tops,glow,blue,glow,tops blue,1
90,eyes,glow,phrase,glow,eyes phrase,1
91,sarcophagus,glows,green,glow,sarcophagus green,1
92,tree,glow,blue,glow,tree blue,1
93,lights,glow,purple,glow,lights purple,1
94,bride,glows,bāsara,glow,bride bāsara,1
95,name,glows,interest,glow,name interest,1
96,beds,glowed,spaces,glow,beds spaces,1
97,platypus,glows,color,glow,platypus color,1
98,pupils,glow,green,glow,pupils green,1
99,bike,glows,underwater,glow,bike underwater,1
100,air,glow,phenomena,glow,air phenomena,1
101,eyes,glow,color,glow,eyes color,1
102,solids,glow,red,glow,solids red,1
103,formations,glow,red,glow,formations red,1
104,skin,glows,yellow,glow,skin yellow,1
105,perspectives,glowing,reviews,glow,perspectives reviews,1
106,bodies,glow,red,glow,bodies red,1
107,life,glow,blue,glow,life blue,1
108,sky,glow,brightness,glow,sky brightness,1
109,field,glows,purple,glow,field purple,1
110,eyes,glowed,use,glow,eyes use,1
111,head,glows,picture,glow,head picture,1
112,eyes,glow,wings,glow,eyes wings,1
113,skies,glow,red,glow,skies red,1
114,instrument,glows,trails,glow,instrument trails,1
115,annexe,glows,colours,glow,annexe colours,1
116,ostracods,glow,blue,glow,ostracods blue,1
117,director,glowing,pic,glow,director pic,1
118,model,glow,additions,glow,model additions,1
119,gemala,glowing,orb,glow,gemala orb,1
120,batons,glow,victims,glow,batons victims,1
121,movie,glows,stuff,glow,movie stuff,1
122,light,glow,moves,glow,light moves,1
123,links,glow,hints,glow,links hints,1
124,pillars,glowed,red,glow,pillars red,1
125,candles,glow,song,glow,candles song,1
126,thread,glows,blue,glow,thread blue,1
127,conductors,glowed,arcing,glow,conductors arcing,1
128,sources,glow,discharge,glow,sources discharge,1
129,bones,glowed,colour,glow,bones colour,1
130,forms,glow,worms,glow,forms worms,1
131,meter,glow,green,glow,meter green,1
132,meter,glow,blue,glow,meter blue,1
133,skin,glows,bracelet,glow,skin bracelet,1
134,sword,glows,red,glow,sword red,1
135,sword,glows,sounds,glow,sword sounds,1
136,armor,glows,color,glow,armor color,1
137,crown,glows,red,glow,crown red,1
138,town,glow,yellow,glow,town yellow,1
139,book,glows,trace,glow,book trace,1
140,hand,glows,red,glow,hand red,1
141,horns,glow,orange,glow,horns orange,1
142,monsters,glow,red,glow,monsters red,1
143,sources,glowing,eyes,glow,sources eyes,1
144,eyes,glowed,amber,glow,eyes amber,1
145,fire,glows,orange,glow,fire orange,1
146,towns,glow,blue,glow,towns blue,1
147,comedy,glowing,reviews,glow,comedy reviews,1
148,coils,glow,white,glow,coils white,1
149,warmth,glows,breath,glow,warmth breath,1
150,lightbulbs,glow,red,glow,lightbulbs red,1
151,sphere,glows,colors,glow,sphere colors,1
152,scalpels,glow,red,glow,scalpels red,1
153,film,glows,thanks,glow,film thanks,1
154,thy,glow,heart,glow,thy heart,1
155,floors,glowed,walls,glow,floors walls,1
156,two,glow,red,glow,two red,1
157,both,glow,fuel,glow,both fuel,1
158,one,glows,gold,glow,one gold,1
159,body,glows,radiance,glow,body radiance,1
160,portrait,glowing,artist,glow,portrait artist,1
161,eyes,glowing,moves,glow,eyes moves,1
162,lightbars,glow,color,glow,lightbars color,1
163,eyes,glow,lights,glow,eyes lights,1
164,tephra,glows,red,glow,tephra red,1
165,arms,glow,red,glow,arms red,1
166,cells,glow,green,glow,cells green,1
167,forms,glow,green,glow,forms green,1
168,throat,glows,blue,glow,throat blue,1
