,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,river,flows,east,flow,river east,43
1,river,flows,east,flow,river east,43
2,river,flows,east,flow,river east,43
3,river,flows,east,flow,river east,43
4,river,flows,east,flow,river east,43
5,river,flows,east,flow,river east,43
6,river,flows,east,flow,river east,43
7,river,flows,east,flow,river east,43
8,river,flows,east,flow,river east,43
9,river,flows,east,flow,river east,43
10,river,flows,east,flow,river east,43
11,river,flows,east,flow,river east,43
12,river,flows,east,flow,river east,43
13,river,flows,east,flow,river east,43
14,river,flows,east,flow,river east,43
15,river,flows,east,flow,river east,43
16,river,flowed,east,flow,river east,43
17,river,flows,east,flow,river east,43
18,river,flows,east,flow,river east,43
19,river,flows,east,flow,river east,43
20,river,flows,east,flow,river east,43
21,river,flows,east,flow,river east,43
22,river,flows,east,flow,river east,43
23,river,flows,east,flow,river east,43
24,river,flows,east,flow,river east,43
25,river,flows,east,flow,river east,43
26,river,flows,east,flow,river east,43
27,river,flows,east,flow,river east,43
28,river,flows,east,flow,river east,43
29,river,flows,east,flow,river east,43
30,river,flows,east,flow,river east,43
31,river,flows,east,flow,river east,43
32,river,flows,east,flow,river east,43
33,river,flows,east,flow,river east,43
34,river,flows,east,flow,river east,43
35,river,flows,east,flow,river east,43
36,river,flows,east,flow,river east,43
37,river,flows,east,flow,river east,43
38,river,flows,east,flow,river east,43
39,river,flows,east,flow,river east,43
40,river,flows,east,flow,river east,43
41,river,flowed,east,flow,river east,43
42,river,flows,east,flow,river east,43
43,river,flows,northwards,flow,river northwards,29
44,river,flows,northwards,flow,river northwards,29
45,river,flows,southwards,flow,river southwards,29
46,river,flows,southwards,flow,river southwards,29
47,river,flows,southwards,flow,river southwards,29
48,river,flows,northwards,flow,river northwards,29
49,river,flows,northwards,flow,river northwards,29
50,river,flows,southwards,flow,river southwards,29
51,river,flows,northwards,flow,river northwards,29
52,river,flows,northwards,flow,river northwards,29
53,river,flows,southwards,flow,river southwards,29
54,river,flows,southwards,flow,river southwards,29
55,river,flows,southwards,flow,river southwards,29
56,river,flows,northwards,flow,river northwards,29
57,river,flows,southwards,flow,river southwards,29
58,river,flows,southwards,flow,river southwards,29
59,river,flows,northwards,flow,river northwards,29
60,river,flows,northwards,flow,river northwards,29
61,river,flows,southwards,flow,river southwards,29
62,river,flows,southwards,flow,river southwards,29
63,river,flows,southwards,flow,river southwards,29
64,river,flows,southwards,flow,river southwards,29
65,river,flows,northwards,flow,river northwards,29
66,river,flows,southwards,flow,river southwards,29
67,river,flows,northwards,flow,river northwards,29
68,river,flows,northwards,flow,river northwards,29
69,river,flows,northwards,flow,river northwards,29
70,river,flows,northwards,flow,river northwards,29
71,river,flows,northwards,flow,river northwards,29
72,river,flows,southwards,flow,river southwards,29
73,river,flows,northwards,flow,river northwards,29
74,river,flows,southwards,flow,river southwards,29
75,river,flows,northwards,flow,river northwards,29
76,river,flowed,southwards,flow,river southwards,29
77,river,flows,northwards,flow,river northwards,29
78,river,flows,northwards,flow,river northwards,29
79,river,flows,southwards,flow,river southwards,29
80,river,flows,northwards,flow,river northwards,29
81,river,flows,southwards,flow,river southwards,29
82,river,flows,northwards,flow,river northwards,29
83,river,flows,southwards,flow,river southwards,29
84,river,flows,southwards,flow,river southwards,29
85,river,flows,northwards,flow,river northwards,29
86,river,flows,northwards,flow,river northwards,29
87,river,flows,southwards,flow,river southwards,29
88,river,flows,northwards,flow,river northwards,29
89,river,flows,southwards,flow,river southwards,29
90,river,flows,northwards,flow,river northwards,29
91,river,flows,northwards,flow,river northwards,29
92,river,flows,southwards,flow,river southwards,29
93,river,flows,southwards,flow,river southwards,29
94,river,flows,northwards,flow,river northwards,29
95,river,flows,southwards,flow,river southwards,29
96,river,flows,southwards,flow,river southwards,29
97,river,flows,northwards,flow,river northwards,29
98,river,flowing,northwards,flow,river northwards,29
99,river,flows,southwards,flow,river southwards,29
100,river,flows,southwards,flow,river southwards,29
101,river,flows,eastwards,flow,river eastwards,26
102,river,flows,eastwards,flow,river eastwards,26
103,river,flows,eastwards,flow,river eastwards,26
104,river,flows,eastwards,flow,river eastwards,26
105,river,flows,eastwards,flow,river eastwards,26
106,river,flows,eastwards,flow,river eastwards,26
107,river,flows,eastwards,flow,river eastwards,26
108,river,flows,eastwards,flow,river eastwards,26
109,river,flows,eastwards,flow,river eastwards,26
110,river,flows,eastwards,flow,river eastwards,26
111,river,flows,eastwards,flow,river eastwards,26
112,river,flows,eastwards,flow,river eastwards,26
113,river,flows,eastwards,flow,river eastwards,26
114,river,flows,eastwards,flow,river eastwards,26
115,river,flows,eastwards,flow,river eastwards,26
116,river,flows,eastwards,flow,river eastwards,26
117,river,flows,eastwards,flow,river eastwards,26
118,river,flows,eastwards,flow,river eastwards,26
119,river,flows,eastwards,flow,river eastwards,26
120,river,flows,eastwards,flow,river eastwards,26
121,river,flows,eastwards,flow,river eastwards,26
122,river,flows,eastwards,flow,river eastwards,26
123,river,flows,eastwards,flow,river eastwards,26
124,river,flows,eastwards,flow,river eastwards,26
125,river,flows,eastwards,flow,river eastwards,26
126,river,flows,eastwards,flow,river eastwards,26
127,river,flows,ecoregion,flow,river ecoregion,17
128,river,flows,ecoregion,flow,river ecoregion,17
129,river,flows,ecoregion,flow,river ecoregion,17
130,river,flows,ecoregion,flow,river ecoregion,17
131,river,flows,ecoregion,flow,river ecoregion,17
132,river,flows,ecoregion,flow,river ecoregion,17
133,river,flows,ecoregion,flow,river ecoregion,17
134,river,flows,ecoregion,flow,river ecoregion,17
135,river,flows,ecoregion,flow,river ecoregion,17
136,river,flows,ecoregion,flow,river ecoregion,17
137,river,flows,ecoregion,flow,river ecoregion,17
138,river,flows,ecoregion,flow,river ecoregion,17
139,river,flows,ecoregion,flow,river ecoregion,17
140,river,flows,ecoregion,flow,river ecoregion,17
141,river,flows,ecoregion,flow,river ecoregion,17
142,river,flows,ecoregion,flow,river ecoregion,17
143,river,flows,ecoregion,flow,river ecoregion,17
144,stream,flows,east,flow,stream east,14
145,forms,flows,part,flow,forms part,14
146,stream,flows,east,flow,stream east,14
147,stream,flows,east,flow,stream east,14
148,forms,flows,part,flow,forms part,14
149,forms,flows,part,flow,forms part,14
150,forms,flows,part,flow,forms part,14
151,forms,flows,part,flow,forms part,14
152,stream,flows,east,flow,stream east,14
153,forms,flows,part,flow,forms part,14
154,forms,flows,part,flow,forms part,14
155,forms,flows,part,flow,forms part,14
156,stream,flows,east,flow,stream east,14
157,forms,flows,part,flow,forms part,14
158,forms,flows,part,flow,forms part,14
159,forms,flows,part,flow,forms part,14
160,stream,flows,east,flow,stream east,14
161,stream,flows,east,flow,stream east,14
162,forms,flows,part,flow,forms part,14
163,forms,flows,part,flow,forms part,14
164,stream,flows,east,flow,stream east,14
165,stream,flows,east,flow,stream east,14
166,stream,flows,east,flow,stream east,14
167,stream,flows,east,flow,stream east,14
168,forms,flows,part,flow,forms part,14
169,stream,flows,east,flow,stream east,14
170,stream,flows,east,flow,stream east,14
171,stream,flows,east,flow,stream east,14
172,river,flows,westwards,flow,river westwards,13
