,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,fragments,called,terranes,call,fragments terranes,334
1,fragments,called,terranes,call,fragments terranes,334
2,fragments,called,terranes,call,fragments terranes,334
3,fragments,called,terranes,call,fragments terranes,334
4,fragments,called,terranes,call,fragments terranes,334
5,fragments,called,terranes,call,fragments terranes,334
6,fragments,called,terranes,call,fragments terranes,334
7,fragments,called,terranes,call,fragments terranes,334
8,fragments,called,terranes,call,fragments terranes,334
9,fragments,called,terranes,call,fragments terranes,334
10,fragments,called,terranes,call,fragments terranes,334
11,fragments,called,terranes,call,fragments terranes,334
12,fragments,called,terranes,call,fragments terranes,334
13,fragments,called,terranes,call,fragments terranes,334
14,fragments,called,terranes,call,fragments terranes,334
15,fragments,called,terranes,call,fragments terranes,334
16,fragments,called,terranes,call,fragments terranes,334
17,fragments,called,terranes,call,fragments terranes,334
18,fragments,called,terranes,call,fragments terranes,334
19,fragments,called,terranes,call,fragments terranes,334
20,fragments,called,terranes,call,fragments terranes,334
21,fragments,called,terranes,call,fragments terranes,334
22,fragments,called,terranes,call,fragments terranes,334
23,fragments,called,terranes,call,fragments terranes,334
24,fragments,called,terranes,call,fragments terranes,334
25,fragments,called,terranes,call,fragments terranes,334
26,fragments,called,terranes,call,fragments terranes,334
27,fragments,called,terranes,call,fragments terranes,334
28,fragments,called,terranes,call,fragments terranes,334
29,fragments,called,terranes,call,fragments terranes,334
30,fragments,called,terranes,call,fragments terranes,334
31,fragments,called,terranes,call,fragments terranes,334
32,fragments,called,terranes,call,fragments terranes,334
33,fragments,called,terranes,call,fragments terranes,334
34,fragments,called,terranes,call,fragments terranes,334
35,fragments,called,terranes,call,fragments terranes,334
36,fragments,called,terranes,call,fragments terranes,334
37,fragments,called,terranes,call,fragments terranes,334
38,fragments,called,terranes,call,fragments terranes,334
39,fragments,called,terranes,call,fragments terranes,334
40,fragments,called,terranes,call,fragments terranes,334
41,fragments,called,terranes,call,fragments terranes,334
42,fragments,called,terranes,call,fragments terranes,334
43,fragments,called,terranes,call,fragments terranes,334
44,fragments,called,terranes,call,fragments terranes,334
45,fragments,called,terranes,call,fragments terranes,334
46,fragments,called,terranes,call,fragments terranes,334
47,fragments,called,terranes,call,fragments terranes,334
48,fragments,called,terranes,call,fragments terranes,334
49,fragments,called,terranes,call,fragments terranes,334
50,fragments,called,terranes,call,fragments terranes,334
51,fragments,called,terranes,call,fragments terranes,334
52,fragments,called,terranes,call,fragments terranes,334
53,fragments,called,terranes,call,fragments terranes,334
54,fragments,called,terranes,call,fragments terranes,334
55,fragments,called,terranes,call,fragments terranes,334
56,fragments,called,terranes,call,fragments terranes,334
57,fragments,called,terranes,call,fragments terranes,334
58,fragments,called,terranes,call,fragments terranes,334
59,fragments,called,terranes,call,fragments terranes,334
60,fragments,called,terranes,call,fragments terranes,334
61,fragments,called,terranes,call,fragments terranes,334
62,fragments,called,terranes,call,fragments terranes,334
63,fragments,called,terranes,call,fragments terranes,334
64,fragments,called,terranes,call,fragments terranes,334
65,fragments,called,terranes,call,fragments terranes,334
66,fragments,called,terranes,call,fragments terranes,334
67,fragments,called,terranes,call,fragments terranes,334
68,fragments,called,terranes,call,fragments terranes,334
69,fragments,called,terranes,call,fragments terranes,334
70,fragments,called,terranes,call,fragments terranes,334
71,fragments,called,terranes,call,fragments terranes,334
72,fragments,called,terranes,call,fragments terranes,334
73,fragments,called,terranes,call,fragments terranes,334
74,fragments,called,terranes,call,fragments terranes,334
75,fragments,called,terranes,call,fragments terranes,334
76,fragments,called,terranes,call,fragments terranes,334
77,fragments,called,terranes,call,fragments terranes,334
78,fragments,called,terranes,call,fragments terranes,334
79,fragments,called,terranes,call,fragments terranes,334
80,fragments,called,terranes,call,fragments terranes,334
81,fragments,called,terranes,call,fragments terranes,334
82,fragments,called,terranes,call,fragments terranes,334
83,fragments,called,terranes,call,fragments terranes,334
84,fragments,called,terranes,call,fragments terranes,334
85,fragments,called,terranes,call,fragments terranes,334
86,fragments,called,terranes,call,fragments terranes,334
87,fragments,called,terranes,call,fragments terranes,334
88,fragments,called,terranes,call,fragments terranes,334
89,fragments,called,terranes,call,fragments terranes,334
90,fragments,called,terranes,call,fragments terranes,334
91,fragments,called,terranes,call,fragments terranes,334
92,fragments,called,terranes,call,fragments terranes,334
93,fragments,called,terranes,call,fragments terranes,334
94,fragments,called,terranes,call,fragments terranes,334
95,fragments,called,terranes,call,fragments terranes,334
96,fragments,called,terranes,call,fragments terranes,334
97,fragments,called,terranes,call,fragments terranes,334
98,fragments,called,terranes,call,fragments terranes,334
99,fragments,called,terranes,call,fragments terranes,334
100,fragments,called,terranes,call,fragments terranes,334
101,fragments,called,terranes,call,fragments terranes,334
102,fragments,called,terranes,call,fragments terranes,334
103,fragments,called,terranes,call,fragments terranes,334
104,fragments,called,terranes,call,fragments terranes,334
105,fragments,called,terranes,call,fragments terranes,334
106,fragments,called,terranes,call,fragments terranes,334
107,fragments,called,terranes,call,fragments terranes,334
108,fragments,called,terranes,call,fragments terranes,334
109,fragments,called,terranes,call,fragments terranes,334
110,fragments,called,terranes,call,fragments terranes,334
111,fragments,called,terranes,call,fragments terranes,334
112,fragments,called,terranes,call,fragments terranes,334
113,fragments,called,terranes,call,fragments terranes,334
114,fragments,called,terranes,call,fragments terranes,334
115,fragments,called,terranes,call,fragments terranes,334
116,fragments,called,terranes,call,fragments terranes,334
117,fragments,called,terranes,call,fragments terranes,334
118,fragments,called,terranes,call,fragments terranes,334
119,fragments,called,terranes,call,fragments terranes,334
120,fragments,called,terranes,call,fragments terranes,334
121,fragments,called,terranes,call,fragments terranes,334
122,fragments,called,terranes,call,fragments terranes,334
123,fragments,called,terranes,call,fragments terranes,334
124,fragments,called,terranes,call,fragments terranes,334
125,fragments,called,terranes,call,fragments terranes,334
126,fragments,called,terranes,call,fragments terranes,334
127,fragments,called,terranes,call,fragments terranes,334
128,fragments,called,terranes,call,fragments terranes,334
129,fragments,called,terranes,call,fragments terranes,334
130,fragments,called,terranes,call,fragments terranes,334
131,fragments,called,terranes,call,fragments terranes,334
132,fragments,called,terranes,call,fragments terranes,334
133,fragments,called,terranes,call,fragments terranes,334
134,fragments,called,terranes,call,fragments terranes,334
135,fragments,called,terranes,call,fragments terranes,334
136,fragments,called,terranes,call,fragments terranes,334
137,fragments,called,terranes,call,fragments terranes,334
138,fragments,called,terranes,call,fragments terranes,334
139,fragments,called,terranes,call,fragments terranes,334
140,fragments,called,terranes,call,fragments terranes,334
141,fragments,called,terranes,call,fragments terranes,334
142,fragments,called,terranes,call,fragments terranes,334
143,fragments,called,terranes,call,fragments terranes,334
144,fragments,called,terranes,call,fragments terranes,334
145,fragments,called,terranes,call,fragments terranes,334
146,fragments,called,terranes,call,fragments terranes,334
147,fragments,called,terranes,call,fragments terranes,334
148,fragments,called,terranes,call,fragments terranes,334
149,fragments,called,terranes,call,fragments terranes,334
150,fragments,called,terranes,call,fragments terranes,334
151,fragments,called,terranes,call,fragments terranes,334
152,fragments,called,terranes,call,fragments terranes,334
153,fragments,called,terranes,call,fragments terranes,334
154,fragments,called,terranes,call,fragments terranes,334
155,fragments,called,terranes,call,fragments terranes,334
156,fragments,called,terranes,call,fragments terranes,334
157,fragments,called,terranes,call,fragments terranes,334
158,fragments,called,terranes,call,fragments terranes,334
159,fragments,called,terranes,call,fragments terranes,334
160,fragments,called,terranes,call,fragments terranes,334
161,fragments,called,terranes,call,fragments terranes,334
162,fragments,called,terranes,call,fragments terranes,334
163,fragments,called,terranes,call,fragments terranes,334
164,fragments,called,terranes,call,fragments terranes,334
165,fragments,called,terranes,call,fragments terranes,334
166,fragments,called,terranes,call,fragments terranes,334
167,fragments,called,terranes,call,fragments terranes,334
168,fragments,called,terranes,call,fragments terranes,334
169,fragments,called,terranes,call,fragments terranes,334
170,fragments,called,terranes,call,fragments terranes,334
171,fragments,called,terranes,call,fragments terranes,334
172,fragments,called,terranes,call,fragments terranes,334
173,fragments,called,terranes,call,fragments terranes,334
174,fragments,called,terranes,call,fragments terranes,334
175,fragments,called,terranes,call,fragments terranes,334
176,fragments,called,terranes,call,fragments terranes,334
177,fragments,called,terranes,call,fragments terranes,334
178,fragments,called,terranes,call,fragments terranes,334
179,fragments,called,terranes,call,fragments terranes,334
180,fragments,called,terranes,call,fragments terranes,334
181,fragments,called,terranes,call,fragments terranes,334
182,fragments,called,terranes,call,fragments terranes,334
183,fragments,called,terranes,call,fragments terranes,334
184,fragments,called,terranes,call,fragments terranes,334
185,fragments,called,terranes,call,fragments terranes,334
186,fragments,called,terranes,call,fragments terranes,334
187,fragments,called,terranes,call,fragments terranes,334
188,fragments,called,terranes,call,fragments terranes,334
189,fragments,called,terranes,call,fragments terranes,334
190,fragments,called,terranes,call,fragments terranes,334
191,fragments,called,terranes,call,fragments terranes,334
192,fragments,called,terranes,call,fragments terranes,334
193,fragments,called,terranes,call,fragments terranes,334
194,fragments,called,terranes,call,fragments terranes,334
195,fragments,called,terranes,call,fragments terranes,334
